input_id	dealiased_id	standard_id	short_id
isbn:9781330267608	isbn:9781330267608	isbn:9781330267608	YcLevYSc
doi:10.1017/CBO9780511803161	doi:10.1017/CBO9780511803161	doi:10.1017/cbo9780511803161	peGxtHPM
doi:10.1080/01621459.1996.10476902	doi:10.1080/01621459.1996.10476902	doi:10.1080/01621459.1996.10476902	w47lt0ah
isbn:9781400880874	isbn:9781400880874	isbn:9781400880874	712MuGug
doi:10.1038/nmeth.3773	doi:10.1038/nmeth.3773	doi:10.1038/nmeth.3773	qpg6x7P4
doi:10.1126/scisignal.aau8645	doi:10.1126/scisignal.aau8645	doi:10.1126/scisignal.aau8645	4VxTzwTj
doi:10.1038/s41587-019-0344-3	doi:10.1038/s41587-019-0344-3	doi:10.1038/s41587-019-0344-3	yCFobrFQ
doi:10.48550/arxiv.1811.12359	doi:10.48550/arxiv.1811.12359	doi:10.48550/arxiv.1811.12359	URCTSFCA
doi:10.1109/JPROC.2021.3058954	doi:10.1109/JPROC.2021.3058954	doi:10.1109/jproc.2021.3058954	T7D6XA6s
doi:10.48550/arxiv.2106.12430	doi:10.48550/arxiv.2106.12430	doi:10.48550/arxiv.2106.12430	vm2M7mI5
http://www.incompleteideas.net/IncIdeas/BitterLesson.html	http://www.incompleteideas.net/IncIdeas/BitterLesson.html	url:http://www.incompleteideas.net/IncIdeas/BitterLesson.html	ydpntqD3
https://rodneybrooks.com/a-better-lesson/	https://rodneybrooks.com/a-better-lesson/	url:https://rodneybrooks.com/a-better-lesson/	eT8vyMzx
https://threadreaderapp.com/thread/1106534178676506624.html	https://threadreaderapp.com/thread/1106534178676506624.html	url:https://threadreaderapp.com/thread/1106534178676506624.html	AT0GCO31
doi:10.48550/arXiv.1706.03762	doi:10.48550/arXiv.1706.03762	doi:10.48550/arxiv.1706.03762	rh7nCPVE
doi:10.1038/s41587-023-01848-y	doi:10.1038/s41587-023-01848-y	doi:10.1038/s41587-023-01848-y	tr1XjZ1R
doi:10.1038/d41586-023-02361-7	doi:10.1038/d41586-023-02361-7	doi:10.1038/d41586-023-02361-7	19EQh1DNG
